id,author,title
pmt18-w0150,"Mary Tighe (née Blachford)","Written at Rossana."
o5156-w1240,"John Hoadly","BOOK I. Ep. 40."
o4987-w0820,"Samuel Whyte","VERSES WRITTEN UPON A PEDESTAL BENEATH A ROW OF ELMS IN A MEADOW NEAR RICHMOND FERRY, BELONGING TO RICHARD OWEN CAMBRIDGE, ESQ. SEPTEMBER 1760."
o5157-w0550,"Sir James Marriott","ARION, an ODE."
o5153-w0190,"George Lyttelton, 1st Baron Lyttelton","To Miss LUCY F—"
o3900-w0550,"Rev. Charles Wesley","Written in the Beginning of a Recovery from Sickness."
o5157-w0100,"Thomas Cole","The ARBOUR: An ODE to CONTENTMENT."
o3900-w0100,"Rev. Charles Wesley","On Reading Monsr. de RENTY's Life."
pik94-w0280,"Isabella Kelly (née Fordyce)","THE HAWK, THE MAGPIES, AND THE PIGEONS. A Fable, very respectfully addressed to the Hon. Mrs. E—tw—k."
oas95-w0010,"Sir Richard Steele","The Procession. A POEM ON Her MAJESTIES FUNERAL."
oar96-w0090,"Elizabeth Rowe (née Singer)","TO Sir CHAREES SEDLEY."
prc90-w0340,"Rebekah Carmichael (later Hay)","THE STRUGGLE"
o4103-w0130,"Christopher Smart","EPITHALAMIUM. ODE XI."
pba35-w0960,"William Ward","To the Right Honourable the Earl of Orrery in Dublin: Upon receiving an Account from Mrs. Barber, of his Lordship's great Generosity to her."
bed98-w0480,"Eliza Day","THE QUESTION."
bah18-w0250,"Anne Hunter (née Home)","EPITAPH FOR MY FATHER."
pmp18-w0040,"Matthew Prior","An ODE."
o5155-w0560,"Edward Moore","To the Right Hon. HENRY PELHAM, Esq; THE humble Petition of the worshipful company Poets and News-writers,"
cbu86-w0030,"Robert Burns","THE AUTHOR'S EARNEST CRY AND PRAYER, TO THE RIGHT HONORABLE AND HONORABLE, THE SCOTCH REPRESENTATIVES IN THE HOUSE OF COMMONS."
pco62-w0080,"Mary Collier","AN ELEGY, On the much lamented Death of NORTON POWLETT Esq; Who departed this life at Petersfield June the 4th 1741."
pmp18-w0410,"Matthew Prior","A Better Answer."
